Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
4/1/17,"2,360","7,036",2.8,16,"1,207",207,20,6,993
4/2/17,"2,173","6,617",2.63,10,"1,267",173,0,0,732
4/3/17,"2,888","17,244",6.95,28,"1,162",177,31,70,"1,554"
4/4/17,"2,739","11,948",4.81,30,"1,162",206,14,58,"1,422"
4/5/17,"2,979","17,648",7.02,19,"1,089",242,42,67,"1,721"
4/6/17,"2,710","13,129",5.33,23,"1,165",194,21,60,"1,400"
4/7/17,"2,652","15,657",6.34,47,"1,172",158,40,70,"1,335"
4/8/17,"2,801","14,746",5.86,84,"1,156",200,33,51,"1,492"
4/9/17,"2,600","12,887",5.21,23,"1,174",215,12,39,"1,278"
4/10/17,"2,637","14,549",5.8,23,"1,156",227,12,45,"1,336"
4/11/17,"2,551","11,744",4.73,18,"1,187",177,31,45,"1,212"
4/12/17,"3,022","19,998",8.03,34,"1,116",160,59,105,"1,753"
4/13/17,"2,965","18,908",7.54,21,"1,111",213,17,99,"1,722"
4/14/17,"3,238","21,920",8.74,35,"1,056",219,62,103,"2,019"
4/15/17,"2,459","10,052",4,10,"1,146",264,24,6,"1,163"
4/16/17,"2,325","7,998",3.18,16,"1,189",239,8,4,985
4/17/17,"3,285","22,872",9.25,26,"1,089",175,43,133,"2,046"
4/18/17,"2,534","11,203",4.48,13,"1,170",232,6,32,"1,217"
4/19/17,"3,118","20,675",8.28,31,"1,080",221,56,83,"1,889"
4/20/17,"2,842","15,095",6.03,26,"1,118",247,21,54,"1,579"
4/21/17,"3,573","25,713",10.22,38,940,372,54,74,"2,469"
4/22/17,"3,123","17,914",7.17,22,"1,025",300,38,77,"1,966"
4/23/17,"2,591","12,893",5.23,17,"1,212",163,17,48,"1,250"
4/24/17,"2,592","14,721",5.98,27,"1,186",187,24,43,"1,250"
4/25/17,"3,125","20,297",8.16,25,"1,037",280,56,67,"1,921"
4/26/17,"2,477","11,770",4.68,19,"1,177",208,23,32,"1,140"
4/27/17,"2,532","11,271",4.48,11,"1,193",177,21,49,"1,177"
4/28/17,"2,366","8,439",3.36,11,"1,180",249,3,8,"1,019"
4/29/17,"1,801","1,859",0.74,2,"1,347",93,0,0,327
4/30/17,"2,112","6,536",2.6,7,"1,253",177,10,0,720
