Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
08/01/17,"2,879","15,539",6.26,9,"1,102",238,27,73,"1,663"
08/02/17,"2,588","14,523",5.78,17,"1,138",227,49,26,"1,337"
08/03/17,"2,715","13,120",5.22,12,"1,127",202,34,77,"1,481"
08/04/17,"4,143","33,278",13.26,41,883,271,87,199,"3,154"
08/05/17,"3,097","14,551",5.8,22,"1,107",183,45,105,"1,825"
08/06/17,"3,004","16,740",6.66,3,663,255,37,64,"1,796"
08/07/17,"2,470","11,668",4.61,12,"1,190",178,16,56,"1,183"
08/08/17,"2,584","13,656",5.44,10,"1,126",255,25,34,"1,361"
08/09/17,"2,258","9,695",3.86,6,"1,209",210,5,16,937
8/10/17,"2,357","10,875",4.32,13,"1,155",255,13,17,"1,087"
8/11/17,"2,946","18,934",7.53,13,"1,047",309,25,59,"1,787"
8/12/17,"3,295","13,851",5.51,23,977,264,122,77,"2,200"
8/13/17,"2,569","11,900",4.73,12,838,351,3,8,"1,377"
8/14/17,"2,435","10,418",4.14,8,"1,063",323,13,4,"1,214"
8/15/17,"2,480","11,303",4.5,5,"1,115",325,0,0,"1,229"
8/16/17,"2,513","11,883",4.88,16,"1,178",198,28,36,"1,229"
8/17/17,"2,602","11,570",4.61,18,"1,118",279,21,22,"1,363"
8/18/17,"2,785","15,194",6.04,9,"1,021",370,42,7,"1,666"
8/19/17,"3,158","19,879",7.98,24,928,418,44,50,"2,132"
8/20/17,"2,355","11,069",4.4,19,"1,214",177,18,31,"1,039"
8/21/17,"3,387","24,117",9.71,22,965,302,44,129,"2,310"
8/22/17,"3,365","18,883",7.53,20,"1,000",295,52,93,"2,235"
8/23/17,"3,157","21,718",8.65,35,"1,087",194,38,121,"1,950"
8/24/17,"2,471","12,825",5.1,20,"1,158",246,11,25,"1,213"
8/25/17,"2,997","17,569",7.24,20,"1,052",312,4,72,"1,816"
8/26/17,"2,300","8,384",3.33,6,"1,145",295,0,0,"1,032"
8/27/17,"2,064","8,586",3.41,19,"1,280",113,28,19,698
8/28/17,"2,969","20,442",8.13,20,"1,059",261,31,89,"1,814"
8/29/17,"2,704","15,957",6.4,12,"1,056",350,10,24,"1,541"
8/30/17,"2,986","19,198",7.87,23,"1,066",270,39,65,"1,809"
8/31/17,"3,498","19,025",7.66,20,560,394,46,73,"2,432"
