Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
07/01/17,"3,186","18,309",7.39,6,"1,091",227,19,103,"1,983"
07/02/17,"3,255","17,395",6.92,4,"1,110",161,39,130,"2,041"
07/03/17,"3,208","19,056",7.7,12,"1,030",260,58,92,"2,036"
07/04/17,"2,357","10,698",4.25,1,"1,226",137,30,47,"1,018"
07/05/17,"2,516","10,795",4.29,10,"1,204",182,8,46,"1,200"
07/06/17,"2,835","15,175",6.14,6,"1,150",215,11,64,"1,561"
07/07/17,"2,571","12,022",4.78,9,"1,191",154,29,66,"1,257"
07/08/17,"3,516","25,372",10.09,7,"1,038",155,60,187,"2,360"
07/09/17,"3,219","19,522",7.91,8,"1,058",213,55,114,"2,060"
7/10/17,"2,756","13,845",5.48,12,"1,135",209,20,76,"1,512"
7/11/17,"2,461","10,919",4.33,9,"1,181",208,15,36,"1,158"
7/12/17,"2,915","18,684",7.52,14,"1,110",209,24,97,"1,698"
7/13/17,"2,620","14,311",5.79,9,"1,162",201,14,63,"1,347"
7/14/17,"3,085","18,965",7.62,15,"1,082",232,35,91,"1,904"
7/15/17,"3,133","16,104",6.4,24,"1,047",307,31,55,"1,964"
7/16/17,"2,271","7,332",2.92,11,"1,204",205,12,19,915
7/17/17,"2,689","13,991",5.65,11,580,255,28,48,"1,475"
7/18/17,"2,652","13,659",5.45,12,"1,138",238,17,47,"1,407"
7/19/17,"2,409","11,747",4.67,8,861,230,32,27,"1,145"
7/20/17,"2,239","8,387",3.34,7,"1,196",221,14,9,922
7/21/17,"2,472","11,956",4.75,6,"1,147",254,14,25,"1,215"
7/22/17,"3,438","21,168",8.42,13,971,315,43,111,"2,351"
7/23/17,"2,860","18,239",7.26,14,"1,098",198,59,85,"1,637"
7/24/17,"2,569","11,808",4.81,10,"1,158",213,21,48,"1,294"
7/25/17,"2,711","15,957",6.35,14,"1,060",307,25,48,"1,545"
7/26/17,"2,716","13,633",5.48,11,"1,158",187,28,67,"1,455"
7/27/17,"2,467","11,873",4.77,10,"1,174",224,7,35,"1,173"
7/28/17,"3,478","21,618",8.83,33,983,265,66,126,"2,377"
7/29/17,"3,779","22,200",8.83,23,948,272,66,154,"2,698"
7/30/17,"3,705","29,300",11.67,22,892,329,85,134,"2,719"
7/31/17,"2,924","18,711",7.47,12,"1,107",196,39,98,"1,709"
