Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
06/01/17,"2,974","14,736",5.86,8,"1,121",199,23,97,"1,724"
06/02/17,"2,523","10,627",4.35,7,"1,138",273,1,28,"1,260"
06/03/17,"2,983","11,601",4.39,14,966,419,19,36,"1,861"
06/04/17,"2,415","8,221",3.14,10,"1,185",216,6,33,"1,097"
06/05/17,"2,383","9,275",3.87,5,"1,198",185,19,38,"1,043"
06/06/17,"2,834","12,606",4.95,15,"1,047",327,24,42,"1,661"
06/07/17,"2,965","16,282",6.68,20,"1,094",231,39,76,"1,738"
06/08/17,"2,589","7,183",2.81,4,"1,095",294,14,37,"1,354"
06/09/17,"2,857","15,599",6.24,7,"1,052",301,18,69,"1,672"
6/10/17,"2,895","13,846",5.48,16,"1,034",325,27,54,"1,731"
6/11/17,"3,183","16,975",6.75,15,973,366,69,32,"2,071"
6/12/17,"3,013","15,084",6.01,15,"1,061",274,22,83,"1,830"
6/13/17,"3,016","15,227",6.06,12,"1,028",311,31,70,"1,863"
6/14/17,"2,404","10,525",4.19,7,"1,204",174,15,47,"1,062"
6/15/17,"2,865","15,513",6.52,10,"1,116",196,34,94,"1,635"
6/16/17,"2,375","10,478",4.19,8,"1,169",237,12,22,"1,078"
6/17/17,"3,193","20,183",7.91,13,"1,051",234,58,97,"2,032"
6/18/17,"3,365","20,582",8.5,9,"1,068",211,44,117,"2,201"
6/19/17,"2,721","13,367",5.23,16,"1,140",196,30,74,"1,462"
6/20/17,"2,582","13,574",5.4,8,"1,117",265,27,31,"1,349"
6/21/17,"2,961","18,298",7.42,14,"1,115",193,31,101,"1,727"
6/22/17,"2,638","11,545",4.64,10,"1,171",181,28,60,"1,328"
6/23/17,"3,171","18,958",7.68,13,"1,099",191,21,129,"1,953"
6/24/17,"1,530",0,0,0,"1,440",0,0,0,0
6/25/17,"1,530",0,0,0,"1,440",0,0,0,0
6/26/17,"2,929","14,360",5.74,11,"1,130",175,44,91,"1,673"
6/27/17,"3,079","19,324",7.78,13,"1,076",255,31,78,"1,871"
6/28/17,"2,848","15,133",6.19,9,"1,158",186,9,87,"1,559"
6/29/17,"2,864","11,315",4.51,14,"1,124",212,30,74,"1,617"
6/30/17,"2,854","12,875",5.14,13,"1,119",261,14,46,"1,585"
