Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
5/1/17,"2,390","9,510",3.78,25,"1,208",200,6,26,"1,028"
5/2/17,"2,702","14,281",5.79,35,"1,079",319,13,29,"1,486"
5/3/17,"2,577","14,068",5.61,17,"1,158",195,33,54,"1,284"
5/4/17,"2,734","13,746",5.59,23,"1,088",315,5,32,"1,484"
5/5/17,"2,712","11,197",4.45,14,"1,107",272,49,12,"1,432"
5/6/17,"2,630","9,269",3.69,15,"1,202",191,34,13,"1,011"
5/7/17,"2,875","17,701",7.14,17,"1,103",240,40,57,"1,623"
5/8/17,"2,692","13,642",5.56,8,"1,119",269,23,29,"1,420"
5/9/17,"2,792","15,034",6.02,23,"1,136",223,34,47,"1,493"
5/10/17,"2,568","13,065",5.21,13,"1,141",265,11,23,"1,285"
5/11/17,"2,579","13,367",5.36,11,"1,163",221,14,42,"1,269"
5/12/17,"2,373","10,235",4.07,3,"1,255",99,29,57,999
5/13/17,"2,554","7,900",3.14,3,"1,213",184,11,32,"1,159"
5/14/17,"2,119","4,828",1.92,3,"1,207",233,0,0,768
5/15/17,"1,871","3,205",1.27,6,"1,311",129,0,0,437
5/16/17,"2,451","9,302",3.7,11,"1,107",325,5,3,"1,218"
5/17/17,"2,644","11,008",4.38,15,"1,114",281,27,18,"1,372"
5/18/17,"2,509","5,450",2.17,5,"1,190",166,42,42,"1,162"
5/19/17,"1,627",802,0.32,3,"1,417",23,0,0,95
5/20/17,"2,212","6,267",2.49,6,"1,202",238,0,0,863
5/21/17,"2,720","12,118",5.23,27,"1,105",282,15,38,"1,480"
5/22/17,"2,375","8,159",3.18,10,"1,225",181,6,28,"1,024"
5/23/17,"2,465","9,118",3.73,5,"1,147",262,6,25,"1,187"
5/24/17,"2,604","9,599",3.8,10,"1,103",230,14,31,"1,296"
5/25/17,"3,182","17,292",6.98,7,998,381,26,35,"2,075"
5/26/17,"2,292","8,614",3.43,6,"1,223",188,3,26,949
5/27/17,"3,042","16,090",6.47,19,910,404,35,31,"1,941"
5/28/17,"2,479","9,544",3.8,8,"1,102",328,6,4,"1,227"
5/29/17,"2,191","5,995",2.38,9,"1,170",270,0,0,876
5/30/17,"2,363","6,725",2.65,8,"1,193",212,19,16,"1,015"
5/31/17,"2,501","9,447",3.84,10,"1,152",245,4,39,"1,207"
