Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
09/01/17,"3,166","22,990",9.16,37,"1,001",282,61,96,"2,042"
09/02/17,"2,882","14,970",6.04,24,"1,072",268,54,46,"1,645"
09/03/17,"2,699","9,861",3.93,14,"1,038",385,1,16,"1,558"
09/04/17,"2,817","12,730",5.21,32,"1,083",213,15,68,"1,566"
09/05/17,"3,058","18,545",7.37,18,607,372,34,48,"1,948"
09/06/17,"2,683","17,625",7.06,28,735,266,20,61,"1,494"
09/07/17,"2,842","13,773",5.48,12,"1,011",359,28,42,"1,722"
09/08/17,"2,241","9,203",3.66,6,819,202,6,19,916
09/09/17,"3,862","19,075",7.64,11,859,299,171,111,"2,883"
9/10/17,"2,475","11,377",4.52,17,"1,113",305,8,14,"1,250"
9/11/17,"2,973","19,618",7.89,20,"1,068",255,34,83,"1,797"
9/12/17,"2,799","15,487",6.2,21,"1,069",314,31,26,"1,624"
9/13/17,"2,570","14,019",5.58,24,"1,140",267,6,27,"1,320"
9/14/17,"2,841","16,017",6.37,10,981,429,10,20,"1,748"
9/15/17,"2,846","19,660",7.82,22,"1,009",209,61,62,"1,622"
9/16/17,"3,042","16,215",6.45,9,"1,018",337,29,56,"1,881"
9/17/17,"2,463","10,337",4.11,7,"1,084",356,0,0,"1,274"
9/18/17,"2,805","20,578",8.2,17,"1,090",254,27,69,"1,623"
9/19/17,"2,722","16,620",6.61,27,"1,093",327,4,16,"1,528"
9/20/17,"2,296","11,860",4.72,13,"1,187",217,6,30,"1,011"
9/21/17,"2,697","15,523",6.19,36,"1,116",226,44,54,"1,481"
9/22/17,"2,785","15,774",6.29,12,"1,099",279,8,54,"1,560"
9/23/17,"2,806","10,483",4.17,10,"1,042",319,56,23,"1,620"
9/24/17,"2,611","10,658",4.24,6,"1,070",363,7,0,"1,419"
9/25/17,"2,557","14,557",5.79,18,"1,114",297,5,24,"1,332"
9/26/17,"2,830","16,511",6.57,22,"1,071",288,36,45,"1,645"
9/27/17,"2,812","18,298",7.38,14,"1,100",259,15,66,"1,612"
9/28/17,"2,519","13,267",5.36,25,"1,170",217,16,37,"1,254"
9/29/17,"2,465","12,338",4.91,12,"1,129",278,7,26,"1,224"
9/30/17,"2,730","14,192",5.67,17,"1,036",351,10,43,"1,590"
