Date,Calories Burned,Steps,Distance,Floors,Minutes Sedentary,Minutes Lightly Active,Minutes Fairly Active,Minutes Very Active,Activity Calories
10/01/17,"2,343","8,825",3.54,5,"1,150",290,0,0,"1,073"
10/02/17,"2,501","13,883",5.56,18,"1,176",207,15,42,"1,219"
10/03/17,"2,679","16,531",6.75,24,"1,134",236,28,42,"1,446"
10/04/17,"2,350","11,724",4.71,21,"1,239",153,6,42,974
10/05/17,"2,922","18,690",7.46,16,"1,065",232,80,63,"1,750"
10/06/17,"2,617","15,552",6.22,30,"1,162",195,30,53,"1,354"
10/07/17,"2,492","10,268",4.11,8,"1,088",352,0,0,"1,278"
10/08/17,"1,978","5,469",2.17,7,"1,289",151,0,0,581
10/09/17,"2,377","12,457",4.95,18,"1,192",197,10,41,"1,080"
10/10/17,"2,868","18,720",7.6,32,"1,064",316,22,38,"1,682"
10/11/17,"2,298","9,109",3.72,22,"1,210",213,5,12,960
10/12/17,"2,562","12,391",5,12,"1,139",268,33,0,"1,288"
10/13/17,"2,945","17,218",6.98,4,"1,013",282,35,48,"1,673"
10/14/17,"2,105","6,957",2.77,1,"1,250",171,2,17,727
10/15/17,"2,479","12,465",5.1,16,"1,198",190,5,47,"1,123"
10/16/17,"2,858","18,581",7.62,28,"1,127",189,23,101,"1,614"
10/17/17,"2,749","14,760",5.97,14,"1,056",338,34,12,"1,577"
10/18/17,"2,744","16,383",6.6,36,"1,077",325,12,26,"1,540"
10/19/17,"2,587","13,522",5.43,20,"1,145",254,20,21,"1,315"
10/20/17,"2,983","17,008",6.76,24,"1,036",338,12,54,"1,831"
10/21/17,"3,095","14,649",5.83,14,"1,061",232,40,107,"1,897"
10/22/17,"2,307","9,119",3.63,12,"1,186",227,23,4,990
10/23/17,"2,829","17,578",7.08,29,"1,109",182,57,92,"1,604"
10/24/17,"2,525","14,721",5.92,23,"1,179",176,18,67,"1,240"
10/25/17,"2,429","10,808",4.37,13,"1,173",240,4,23,"1,147"
10/26/17,"2,533","13,057",5.33,17,"1,139",267,15,19,"1,281"
10/27/17,"2,838","18,915",7.52,34,"1,059",306,34,41,"1,672"
10/28/17,"2,573","10,571",4.21,7,"1,034",390,12,4,"1,406"
10/29/17,"2,328","8,868",3.57,2,"1,133",307,0,0,"1,094"
10/30/17,"2,509","14,326",6.07,29,"1,189",195,10,46,"1,204"
10/31/17,"2,549","12,409",5.03,31,"1,166",208,36,30,"1,256"
